nume_boala,simptome
Abces mamar,"durere, roșeață, temperatură crescută a sânului, creșterea în volum și indurarea țesutului mamar, stare de oboseală, febră și frisoane, greață, vomă, drenajul unui material purulent de la nivelul mamelonului, masă sau zonă fluctuentă la palpare, căldură locală, eritem, nodul la nivelul sânului ce nu dispare după încetarea perioadei de
               alăptare, descărcări lichide anormale prin mameloane"
Abces tubo-ovarian,"durere pelvina acuta, febra, masa anexala, durere pelvina cronica, greata, varsaturi, modificari ale scaunului, debacluri vaginale, durere pelvina acuta care se agraveaza (în caz de ruptură), tahicardie (în caz de ruptură), abdomen distensionat (în caz de ruptură), zgomote intestinale absente (în caz de ruptură), semne de peritonita generalizata (în caz de ruptură), rigiditate musculara (în caz de ruptură), Leucopenie severa (în caz de ruptură)"
Abcese hepatice,"Febră, Frisoane, Durere în hipocondrul drept, Anorexie (lipsa poftei de mâncare), Stare de rău general, Durere pleuritică toracică, Durere iradiată în umărul drept, Scădere în greutate, Confuzie mentală, Sensibilitate dureroasă la palparea hipocondrului drept, Hepatomegalie (ficat mărit), Mase hepatice palpabile, Icter (îngălbenirea pielii și a ochilor), Raluri pulmonare, Semne de pleurezie, Semne de consolidare pulmonară, Durere abdominală (în special în cadranul superior), Iradierea durerii abdominale în umăr sau zona interscapulară, Durere abdominală exacerbată de tuse, mers, inspir profund,
               clinostatism pe partea dreaptă, Crampe dureroase abdominale, Rigor (frison violent), Greață, Vărsături, Diaree, Dizenterie (în antecedente), Diaree hemoragică (rar), Tuse, Durere toracică (poate indica implicare pulmonară), Expectorație nemirositoare de culoare maro (sugerează fistulă
               bronhopleurală)"
Abcesele intraperitoneale,"Febra, Leucocitoza, Dureri abdominale"
Abcesele periosoase oro-maxilo-faciale,"Durere localizată (intensă sub periost, cedează parțial după perforare), Tumefacție (umflătură) în zona afectată (vestibulară, palatinală,
               perimandibulară), Congestie (roșeață) și edem al mucoasei sau pielii, Fluctuență la palpare (indicând colecția de puroi), Contur precis al tumefacției (în faza submucoasă/subcutanată), Edem facial asociat (poate indica locația dintelui cauzal, ex. „buză de
               tapir”, inflamația pleoapei/obrazului), Trismus (limitarea deschiderii cavității orale), mai ales la infecții de
               la molarii inferiori, Alterarea ușoară/moderată a stării generale, Febră, Neliniște, Tulburări de deglutiție (la abces palatinal extins), Tulburări de fonație (la abces palatinal extins), Tulburări de respirație (la abces palatinal extins), Bombare a palatului (în abces palatinal), Bombare a obrazului în porțiunea inferioară (în abces perimandibular
               extern), Imposibilitatea palpării marginii mandibulare (în abces perimandibular
               extern), Bombare bine delimitată pe fața internă a mandibulei (în abces
               perimandibular intern), Deplasarea limbii spre partea neafectată (în abces perimandibular
               intern)"
Abcesele primare ale lojilor superficiale mandibulare,"Tumefacție dureroasă (submandibulară, sublinguală, submentonieră), Extinderea tumefacției, Piele acoperitoare congestivă, lucioasă, hiperemică, dureroasă, Edem și congestie a mucoasei planșeului bucal (submandibular,
               sublingual), Proeminență sublinguală acoperită cu fibrină (""creastă de cocoș""), Împingerea limbii (în abcesul sublingual), Trismus (limitarea dureroasă a deschiderii gurii), Dureri vii, iradiante (ex: spre ureche), Durere la mișcarea gurii, alimentație, vorbire, mișcarea limbii, Stare generală alterată/septică (febră, frisoane, dureri musculare), Indurație locală, posibil fluctuenta, Durere pulsatilă, Absența modificărilor intraorale (în abcesul submentonier)"
Abcesul apendicular,"durere abdominală vagă, nespecifică, localizată inițial periombilical
               sau epigastric, durere abdominală de intensitate mai mare, localizată în fosa iliacă
               dreaptă, accentuată de mișcare sau palpare, greață, vărsături (nu foarte frecvente), anorexie, diaree (durată scurtă), febra peste 38,6°C (semn de perforație), tahicardie (semn de perforație), leucocitoză peste 14.000/mm³ (semn de perforație), semne de iritație peritoneală, masă pseudotumorală fluctuentă palpabilă în fosa iliacă dreaptă, apărare musculară generalizată (în peritonita generalizată), contractură musculară (în peritonita generalizată), absența mișcărilor abdominale respiratorii (în peritonita generalizată), silentium ascultator (în peritonita generalizată), leucocitoză (10.000-18.000/mm³), neutrofilie (peste 75%), CRP crescut, VSH accelerat"
Abcesul cardiac,"Tulburări de conducere cardiacă, Semne de comunicare anormală între camerele inimii, Semne de pericardită (inflamația pericardului), Semne de ischemie miocardică, Semne de insuficiență cardiacă (în cazul localizării aortice), Deteriorare hemodinamică (în cazul localizării aortice)"
Abcesul cerebral,"Cefalee (durere de cap), Febră, Deficit neurologic focal (ex: hemiplegie, hemianopsie, paralizii ale
               nervilor cranieni), Crize convulsive, Greață și vărsături (emeza, voma), Redoare a cefei (gatul este teapan si dureros la incercarea de
               mobilizare), Edem papilar (în caz de creștere a presiunii intracraniene), Somnolență, Scăderea capacității de concentrare, Tulburări psihice, Hemipareză de partea opusă (în abcese frontale), Tulburări motorii, Tulburări de vorbire, Ataxie (în abcese de fosă posterioară), Nistagmus (în abcese de fosă posterioară), Dismetrie (în abcese de fosă posterioară), Vărsături neînsoțite de senzația de greață (în caz de creștere a
               presiunii intracraniene), Letargie, Comă (rar)"
Abcesul cronic,"Durere continuă și progresivă în zona de localizare, Accenturea durerii la apăsare sau la mobilizarea regiunii respective, Tumefierea tegumentului, Înroșirea tegumentului adiacent, Deformarea regiunii de localizare, Tegument supraiacent și adiacent fierbinte și sub tensiune la palpare, Eliminarea de secreții purulente de culoare galben-verzuie la exprimarea
               formațiunii, Sensibilitate discretă (în abcesele profunde), Infiltrarea țesuturilor supraiacente (în abcesele profunde), Febră (în caz de acutizare), Frisoane (în caz de acutizare), Anemie (în caz de acutizare), Leucocitoză (în caz de acutizare)"
Abces dentar,"durere la nivelul cavitatii bucale in dreptul dintelui cauzator, umflare la nivelul cavitatii bucale in dreptul dintelui cauzator si la
               nivelul obrazului, roseata la nivelul cavitatii bucale in dreptul dintelui cauzator si la
               nivelul obrazului, frisoane (daca apar complicatii), febra (daca apar complicatii), stari de greata (daca apar complicatii), voma (daca apar complicatii), inflamatia gingiei, durere la atingere, drenarea spontana a puroiului prin fistulizare, dificultati la deschiderea gurii, dificultati la inghitit, sensibilitate dentara la alimente si lichide fierbinti, durere pulsatila si continua, senzatia de mobilitate a dintelui, senzatia ca dintele este mai alungit decat ceilalti dinti, disconfort, senzatia ca dintele va exploda, gust amar (la drenarea abcesului in gura)"
Abcesul epidural,"Durere vie, localizata pe linia mediana spinala sau paravertebral, Febra, Pareza rapid progresiva, Durere cronicizata (în lipsa tratamentului), Crestere a leucocitelor (semn de laborator), Crestere a VSH-ului (semn de laborator), Lichid cefalorahidian bogat in proteine (în caz de abces
               subdural/meningită), Pleiocitoza cu predominanta polimorfonuclearelor în LCR (în caz de abces
               subdural/meningită), Nivel redus al glucozei în LCR (în caz de abces subdural/meningită)"
Abcesul hepatic,"Febra, Durere în hipocondrul drept, Apărare musculară în hipocondrul drept, Sensibilitate la palpare în hipocondrul drept, Frisoane, Lipsa poftei de mancare, Scădere ponderală, Greață, Vomă, Hepatomegalie (ficat mărit), Creșterea fosfatazei alcaline (investigații de laborator), Creșterea bilirubinei (investigații de laborator), Creșterea transaminazelor hepatice (investigații de laborator), Ascensionarea hemidiafragmului drept (radiografie toracică)"
Abcesul pancreatic si peripancreatic,"Febra (hipertermie), Durere (asociată cu pancreatita precursoare), Frisoane (asociate cu pancreatita precursoare), Leucocitoză, Sindrom inflamator (VSH, proteina C reactivă, fibrinogen crescute)"
Abcesul periamigdalian,"alterarea stării generale, curbatură (durere musculară), astenie, disfagie (dificultate la ȋnghiţirea alimentelor), odinofagie (durere la ȋnghiţirea alimentelor), febră, otalgie reflexă (durere ce iradiază la nivelul urechii), trismus (contracţie spastică a muşchilor mandibulei ce ȋmpiedică
               deschiderea gurii), sialoree (salivaţie abundentă), halenă fetidă (respiraţie urȃt mirositoare), tulburări ale vocii, odinofagie unilaterală, hiperpirexie (febră mare), adenopatie subangulomandibulară unilaterală, ȋmpăstarea regiunii submandibulare (la palpare), congestia şi tumefierea unilaterală a pilierului anterior şi a vălului
               palatin, devierea inferioară şi spre linia mediană a amigdalei palatine, congestie amigdaliană, exsudat purulent pe amigdală, luetă tumefiată şi deviată de partea opusă, tumefierea pilierului posterior (în forma posterioară), amigdala deviată spre anterior (în forma posterioară), mărirea de volum a amigdalei palatine (în forma intraamigdaliană), disfagie severă (în forma bilaterală), odinofagie severă (în forma bilaterală), dispnee (în forma bilaterală cu edem laringian)"
Abcesul perianal,"Durere ascuțită, continuă, agravată de mișcări, presiune (ex: ședere),
               defecație, Tumefacție (umflătură) sau masă palpabilă în regiunea perianală, Eritem (înroșire a pielii) în zona afectată, Căldură locală în zona afectată, Secreții purulente (puroi) din zona afectată, uneori cu miros neplăcut, Sângerări, Febră, Frisoane, Disconfort sau dificultate la defecație (inclusiv constipație sau
               retenție de scaun), Prurit (mâncărime) în regiunea perianală, Tract fistulos (drenaj continuu sau intermitent, orificii vizibile), Slăbiciune, Oboseală"
Abcesul perinefretic si renal,"durere lombara, durere in flanc, durere abdominala, febra, durere care iradiaza catre canalul inghinal, durere care iradiaza catre membrul inferior"
Abcesul pulmonar,"Tuse severă, Eliminarea unor cantități mari de spută fetidă (urât mirositoare),
               purulentă sau sangvinolentă, Gust rău al sputei, Hemoptizie (ocazional), Febră ondulantă, Stare generală alterată, Frisoane (neobișnuite), Anorexie, Scădere ponderală, Anemie (dovezi de boală cronică), Fatigabilitate, Transpirații, Hipocratism digital (degete hipocratice), Respirație urât mirositoare (în abcesul putrid), Pleurezie (durere pleurală), Diminuarea murmurului vezicular, Temperatură egală sau mai mare de 39,4 grade Celsius, Crepitante la nivelul zonei afectate, Bronhofonie, Matitate la percuție (în prezența revărsatului lichidian)"
Abcesul renal,"Febra, Frisoane, Durere abdominala, Scadere in greutate, Senzatie vaga de disconfort, Mictiune dureroasa (Disurie), Urina cu sange (Hematurie), Durere în unghiul costovertebral (zona lombară), Rigiditate la palparea unghiului costovertebral sau în flanc, Greață, Vărsături, Anorexie (lipsa poftei de mâncare), Stagnarea creșterii în greutate și în înălțime (la copii), Dificultăți de alimentare (la sugar), Degradarea statusului mental (la vârstnici), Decompensarea unui alt organ sau sistem (la vârstnici), Dispnee (respirație dificilă), Insuficiență renală acută, Șoc, Crepitații la nivelul flancului afectat, Pneumaturie (apariția bulelor de aer în urină), Emfizem subcutanat, Pneumomediastin, Durere în flanc cu caracter difuz și persistent, Apariția de fistule (pielocutanate, ureterocutanate, pieloenterice), Oboseală, Instabilitate hemodinamică, Tahicardie, Hipotensiune, Tahipnee, Masă abdominală palpabilă în flanc, Sensibilitate la nivelul punctului costovertebral, Piurie (leucocite în urină), Bacteriurie (bacterii în urină), Proteinurie (proteine în urină), Leucocitoză, Trombocitopenie, Creșterea nivelului creatininei serice, Anemie (în pielonefrita xantogranulomatoasă), Uree și creatinină serică crescute"
Abcesul splenic,"Febră (moderată, continuă, intermitentă sau absentă), Durere în cadranul abdominal superior (hipocondrul stâng), Splenomegalie, Vărsături, Frisoane, Leucocitoză, Durere iradiată în umăr (semnul Kehr), Durere pleuritică toracică (la baza plămânului stâng, agravată de tuse
               și expirație forțată), Stare generală de rău, Simptome dispeptice, Sensibilitate dureroasă abdominală (în cadranul stâng), Apărare musculară (în cadranul stâng, posibil), Edem al țesuturilor moi suprasplenice (posibil), Sensibilitate dureroasă costovertebrală, Sonoritate diminuată la baza plămânului stâng, Raluri bazilare stângi, Ascensionarea hemidiafragmului stâng"
